review_id,user_id,product,brand,rating,date,source,text_length,word_count,sentiment_polarity,sentiment_subjectivity,sentiment_label,is_spam_combined,enhanced_credibility,use_for_analysis,has_rating,review_year,review_month
REV_000001,USER_ANON_02122,iPhone 17 Pro Max,Apple,4.0,2025-09-11 00:00:00,GSM Arena,197,36,0.326,0.51,positive,False,1.0,True,True,2025.0,9.0
REV_000002,USER_ANON_02225,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,92,16,0.275,0.575,positive,False,1.0,True,False,2025.0,9.0
REV_000003,USER_ANON_02159,iPhone 17 Pro,Apple,,2025-09-11 00:00:00,GSM Arena,343,67,0.010227272727272729,0.3840909090909091,neutral,False,1.0,True,False,2025.0,9.0
REV_000004,USER_ANON_02160,iPhone 17 Pro,Apple,,2025-09-11 00:00:00,GSM Arena,145,30,-0.16666666666666669,0.6166666666666667,negative,False,1.0,True,False,2025.0,9.0
REV_000005,USER_ANON_02205,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,356,63,0.06875,0.54375,neutral,False,1.0,True,False,2025.0,9.0
REV_000006,USER_ANON_02207,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,291,51,0.14999999999999997,0.44999999999999996,positive,False,1.0,True,False,2025.0,9.0
REV_000007,USER_ANON_02212,iPhone Air,Apple,5.0,2025-09-11 00:00:00,GSM Arena,242,43,0.39999999999999997,0.5249999999999999,positive,False,1.0,True,True,2025.0,9.0
REV_000008,USER_ANON_02214,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,275,53,0.06666666666666667,0.39999999999999997,neutral,False,1.0,True,False,2025.0,9.0
REV_000009,USER_ANON_02216,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,1368,243,0.13847222222222225,0.3956944444444444,positive,False,1.0,True,False,2025.0,9.0
REV_000010,USER_ANON_02217,iPhone Air,Apple,0.15,2025-09-11 00:00:00,GSM Arena,102,22,0.5,1.0,positive,False,0.8,True,True,2025.0,9.0
REV_000011,USER_ANON_02218,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,70,14,0.0,0.0,neutral,False,1.0,True,False,2025.0,9.0
REV_000012,USER_ANON_02219,iPhone Air,Apple,,2025-09-11 00:00:00,GSM Arena,514,94,0.19999999999999998,0.4870370370370371,positive,False,1.0,True,False,2025.0,9.0
