review_text,rating,product_name,brand,user_id,review_date,ram,storage,color,source,verified_purchase
I like it - Wao I couldn't believe everything went through easily,4.0,apple iphone 11 pro max 65 inch super retina 4gb,apple,,2023-06-17 00:00:00.000000,ram,romios,gold,Review Data Import,True
"I love it - Beutiful,and good",4.0,apple iphone 11 pro max 65 inch super retina 4gb,apple,,2022-06-06 00:00:00.000000,ram,romios,gold,Review Data Import,True
Apple - Itâ€™s an original iPhone because when I turned it on it asked for certain details that fake iPhones doesnâ€™t ask,4.0,apple iphone 12 61 inch 128gb,apple,,2025-07-14 00:00:00.000000,,rom,bank,Review Data Import,True
I donâ€™t like it - Not brand new,4.0,apple iphone 12 61 inch 128gb,apple,,2024-12-18 00:00:00.000000,,rom,bank,Review Data Import,True
It's tested and Trusted - It's perfectly working fine,4.0,apple iphone 12 61 inch 128gb,apple,,2024-08-13 00:00:00.000000,,rom,bank,Review Data Import,True
I like it - I really love the phone. Iâ€™ve been using it for some months now and I have had no issues.,4.0,apple iphone 12 61 inch 128gb,apple,,2023-05-04 00:00:00.000000,,rom,bank,Review Data Import,True
Good product  - Very fast and best camera in a phone so far,4.0,huawei pura 70 ultra 68 16gb,huawei,,2024-05-11 00:00:00.000000,ram,rom,black,Review Data Import,True
better - Good product ,4.0,huawei y6 pro 4g lte 4gb,huawei,,2025-08-25 00:00:00.000000,ram,rom,gold,Review Data Import,True
Processor speed - To be a little bit faster,4.0,huawei y6 pro 4g lte 4gb,huawei,,2025-08-21 00:00:00.000000,ram,rom,gold,Review Data Import,True
Battery health  - Phone dies every 15 minutes after charging it full ,4.0,huawei y6 pro 4g lte 4gb,huawei,,2025-06-01 00:00:00.000000,ram,rom,gold,Review Data Import,True
Good phone - Good value for money. Smooth and Doesn't hang.,4.0,huawei y6 pro 4g lte 4gb,huawei,,2025-07-30 00:00:00.000000,ram,rom,gold,Review Data Import,True
"Plausible - For the budget it's fine
Battery is good enough ",4.0,huawei y6 pro 4g lte 4gb,huawei,,2025-06-05 00:00:00.000000,ram,rom,gold,Review Data Import,True
"Good product  - The phone is very neat and cool, working perfectly ????",4.0,huawei y9 2019 999new 6gb,huawei,,2025-07-08 00:00:00.000000,ram,rom,purple,Review Data Import,True
nice phone  - Very easy to hold and phone appeared as shown,4.0,huawei y9 2019 999new 6gb,huawei,,2025-07-28 00:00:00.000000,ram,rom,purple,Review Data Import,True
Love it - Love it,4.0,infinix hot 50 pro 678 8gb,infinix,,2025-08-28 00:00:00.000000,ram128gb,rom,purple,Review Data Import,True
So nice  - Sleek and smart ,4.0,infinix hot 50 pro 678 8gb,infinix,,2025-07-08 00:00:00.000000,ram128gb,rom,purple,Review Data Import,True
